variant,review,n_labels,pct_draws_unusable,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
qwen3-4b: embedding + lexical,Menon_2022,200,0.0,0.696008116340878,0.8587974102647221,0.5383225806451613,0.9254577595497053,0.8774629032258063
qwen3-4b: embedding + lexical,van_der_Waal_2022,25,0.575,0.5362903225806451,0.7130574003795066,0.413632239528202,0.8420517483400846,0.9343989112354453
qwen3-4b: embedding + lexical,van_der_Waal_2022,50,0.275,0.6143446421950314,0.7834654245457916,0.5332076149425287,0.8782878879910307,0.9343202227011493
qwen3-4b: embedding + lexical,van_der_Waal_2022,100,0.225,0.6893122734938463,0.8347606211202411,0.5122218388821804,0.895758647882602,0.9342349491116093
qwen3-4b: embedding + lexical,van_der_Waal_2022,200,0.05,0.6985061498140359,0.8546478092323258,0.5396372286648825,0.9022691243793141,0.9340677966101695
qwen3-8b: embedding,Sep_2021,25,0.05,0.19814667159342764,0.329018391480743,0.038147197261446254,0.6084360891676359,0.8092479674796751
qwen3-8b: embedding,Sep_2021,50,0.0,0.2672487013464594,0.4031152326796647,0.09377828054298638,0.6908129626199214,0.8098642533936651
qwen3-8b: embedding,Sep_2021,100,0.0,0.3084853871488054,0.4824832430743225,0.1970760233918128,0.7602794768099284,0.8079166666666667
qwen3-8b: embedding,Sep_2021,200,0.0,0.3426981005106005,0.5413903110778111,0.276056338028169,0.8028822231324693,0.8054929577464789
qwen3-8b: embedding,Menon_2022,25,0.15,0.5468571801200529,0.7454158846340299,0.41061919504643957,0.8702715415484644,0.8782941176470588
qwen3-8b: embedding,Menon_2022,50,0.0,0.6042982838077007,0.7935374390488238,0.46997297297297297,0.8982033085782593,0.8779797297297296
qwen3-8b: embedding,Menon_2022,100,0.0,0.6764955332950292,0.8285967654664566,0.5129142857142857,0.9179905323044085,0.8776371428571427
qwen3-8b: embedding,Menon_2022,200,0.0,0.7193320821165076,0.8628606625585313,0.5754193548387097,0.9359852163568452,0.8774629032258063
qwen3-8b: embedding,van_der_Waal_2022,25,0.575,0.5657613851992409,0.8142196394686907,0.6199228791773779,0.8878915989987141,0.9343989112354453
qwen3-8b: embedding,van_der_Waal_2022,50,0.275,0.6197302558398219,0.8301191138301817,0.5845905172413793,0.893997846126424,0.9343202227011493
qwen3-8b: embedding,van_der_Waal_2022,100,0.225,0.6935415844367097,0.8651075119308191,0.5991288597550457,0.9093187449189102,0.9342349491116093
qwen3-8b: embedding,van_der_Waal_2022,200,0.05,0.7182979185078008,0.8654975950644751,0.5897264347308949,0.9101258752840727,0.9340677966101695
qwen3-8b: embedding + lexical,Sep_2021,25,0.05,0.16434186103379309,0.2837861078943724,0.01247325631151044,0.5809009557093233,0.8092479674796751
qwen3-8b: embedding + lexical,Sep_2021,50,0.0,0.2369751195292765,0.3957445866589201,0.07251131221719453,0.6701841445187217,0.8098642533936651
qwen3-8b: embedding + lexical,Sep_2021,100,0.0,0.2855734737040959,0.46754678653985254,0.15628654970760228,0.7351845653417379,0.8079166666666667
qwen3-8b: embedding + lexical,Sep_2021,200,0.0,0.34507149100899104,0.5313013722388723,0.1616197183098591,0.7669113463273037,0.8054929577464789
qwen3-8b: embedding + lexical,Menon_2022,25,0.15,0.4263644732988799,0.6188973205750339,0.2411455108359133,0.8026495229731518,0.8782941176470588
qwen3-8b: embedding + lexical,Menon_2022,50,0.0,0.539323749227462,0.7324543585754751,0.364027027027027,0.8639131525784822,0.8779797297297296
qwen3-8b: embedding + lexical,Menon_2022,100,0.0,0.6392783993352606,0.8013269963545848,0.44568571428571424,0.9006287916504959,0.8776371428571427
qwen3-8b: embedding + lexical,Menon_2022,200,0.0,0.6882176305432312,0.8432604994268882,0.5129677419354839,0.9212188248570985,0.8774629032258063
qwen3-8b: embedding + lexical,van_der_Waal_2022,25,0.575,0.5161290322580645,0.6911171726755219,0.40035536065325866,0.828795632340241,0.9343989112354453
qwen3-8b: embedding + lexical,van_der_Waal_2022,50,0.275,0.5907744716351502,0.7663306451612903,0.4875538793103448,0.864773339586228,0.9343202227011493
qwen3-8b: embedding + lexical,van_der_Waal_2022,100,0.225,0.6687516445991364,0.8379820918104943,0.5428238744178023,0.8936631083523799,0.9342349491116093
qwen3-8b: embedding + lexical,van_der_Waal_2022,200,0.05,0.7145685976776077,0.858721964231119,0.5670680939637229,0.9074987387594461,0.9340677966101695
