use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
synergy_moran_2021,10,20,mixed,0.5274242424242426,0.02513799152673426,0.03992424242424253
synergy_moran_2021,10,20,random,0.5819545454545455,0.03563208752174121,0.09445454545454546
synergy_moran_2021,10,20,easy,0.5325530303030304,0.01275330130651965,0.04505303030303032
synergy_moran_2021,10,50,hard,0.5341060606060607,0.010196885271387176,0.04660606060606065
synergy_moran_2021,10,50,mixed,0.5641969696969698,0.025240002703158813,0.07669696969696971
synergy_moran_2021,10,50,random,0.5879015151515151,0.04008685903407291,0.10040151515151507
synergy_moran_2021,10,50,easy,0.5285227272727273,0.016366827691049468,0.041022727272727266
synergy_moran_2021,20,10,hard,0.503280303030303,0.01127250325616445,0.015780303030302978
synergy_moran_2021,20,10,mixed,0.540340909090909,0.024610871954595055,0.052840909090908994
synergy_moran_2021,20,10,random,0.6059848484848485,0.03500677161306811,0.11848484848484842
synergy_moran_2021,20,10,easy,0.516810606060606,0.017136380382061864,0.02931060606060598
synergy_moran_2021,20,20,hard,0.5175151515151516,0.011190540246159638,0.03001515151515155
synergy_moran_2021,20,20,mixed,0.5449621212121213,0.03332654889634808,0.05746212121212124
synergy_moran_2021,20,20,random,0.5802045454545455,0.034404697289647616,0.09270454545454543
synergy_moran_2021,20,20,easy,0.5363560606060607,0.024498182125545213,0.048856060606060625
synergy_moran_2021,20,50,hard,0.5347348484848485,0.012171816714459488,0.04723484848484849
synergy_moran_2021,20,50,mixed,0.5629393939393939,0.03755940045982824,0.0754393939393938
synergy_moran_2021,20,50,random,0.6163484848484849,0.02854993973320284,0.12884848484848488
synergy_moran_2021,20,50,easy,0.5301969696969697,0.026073897685153787,0.04269696969696968
synergy_muthu_2021,10,10,hard,0.6385746268656717,0.02699514659443357,-0.08982089552238792
synergy_muthu_2021,10,10,mixed,0.6968880597014925,0.02054341663478887,-0.03150746268656712
synergy_muthu_2021,10,10,random,0.7355796019900498,0.022431233385224236,0.00718407960199019
synergy_muthu_2021,10,10,easy,0.762179104477612,0.011689518719767917,0.033783582089552344
synergy_muthu_2021,10,20,hard,0.632860696517413,0.028857821805524795,-0.09553482587064666
synergy_muthu_2021,10,20,mixed,0.7024328358208956,0.035251719049545945,-0.02596268656716405
synergy_muthu_2021,10,20,random,0.7513495024875622,0.013867219922232965,0.022953980099502558
synergy_muthu_2021,10,20,easy,0.7553955223880597,0.01168848642185081,0.027000000000000135
synergy_muthu_2021,10,50,hard,0.5984925373134329,0.029946626076339612,-0.12990298507462672
synergy_muthu_2021,10,50,mixed,0.7167786069651741,0.010173028440965905,-0.011616915422885454
synergy_muthu_2021,10,50,random,0.7513905472636816,0.024178988544651735,0.022995024875621994
synergy_muthu_2021,10,50,easy,0.7673109452736318,0.013445685304424321,0.03891542288557215
synergy_muthu_2021,20,10,hard,0.6265771144278608,0.010280430935341717,-0.10181840796019881
synergy_muthu_2021,20,10,mixed,0.7187786069651741,0.01665436800256953,-0.009616915422885453
synergy_muthu_2021,20,10,random,0.7305820895522388,0.040322806383432455,0.0021865671641791984
