variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
induced_lex,1,catboost,leenaars_2020,0.9321064814814816,0.6349247504097771,0.6813442538071354,0.31946755407653904
induced_lex,1,logreg,leenaars_2020,0.9284265046296295,0.6257830427656106,0.677236873555892,0.31946755407653904
induced_lex,1,blend,leenaars_2020,0.9408425925925926,0.6318775145283883,0.7044598319161924,0.31946755407653904
induced_lex,1,catboost,moran_2021,0.847891891891892,0.20732751261155197,0.41957247501284534,0.09914255091103961
induced_lex,1,logreg,moran_2021,0.6228558558558558,0.09953346915016831,0.13596583329682396,0.09914255091103961
induced_lex,1,blend,moran_2021,0.8185165165165165,0.22428754365540182,0.3414554195804196,0.09914255091103961
induced_lex,1,catboost,muthu_2021,0.8336976047904192,0.32666666666668137,0.603415596546055,0.41511309967685805
induced_lex,1,logreg,muthu_2021,0.8183323353293412,0.2408482818508978,0.5863272102731744,0.41511309967685805
induced_lex,1,blend,muthu_2021,0.8437914171656687,0.3284180622751665,0.5948055063608205,0.41511309967685805
induced_lex,1,catboost,nelson_2002,0.8632643884892086,0.4108938547486033,0.741106719367589,0.5899705014749262
induced_lex,1,logreg,nelson_2002,0.8919064748201438,0.43603351955307257,0.7684210526315788,0.5899705014749262
induced_lex,1,blend,nelson_2002,0.8902428057553957,0.4304469273743016,0.7559395248380129,0.5899705014749262
induced_lex,1,catboost,sep_2021,0.7541304347826087,0.07592592592592587,0.5656934306569342,0.46511627906976744
induced_lex,1,logreg,sep_2021,0.7844021739130435,0.13518518518518513,0.6118143459915611,0.46511627906976744
induced_lex,1,blend,sep_2021,0.7802173913043479,0.07222222222222217,0.6007751937984497,0.46511627906976744
induced_lex,1,catboost,van_der_valk_2021,0.8921053117101161,0.5471830985915492,0.6602112676056338,0.41115311909262764
induced_lex,1,logreg,van_der_valk_2021,0.8270972860279331,0.27676056338028165,0.594541910331384,0.41115311909262764
induced_lex,1,blend,van_der_valk_2021,0.8878064980350916,0.5373239436619718,0.6574074074074074,0.41115311909262764
induced_lex,1,catboost,van_dis_2020,0.9380092592592593,0.7121490266278813,0.3783795756242341,0.03902016041621504
induced_lex,1,logreg,van_dis_2020,0.9327175925925926,0.6043577235772363,0.39996038487616464,0.03902016041621504
induced_lex,1,blend,van_dis_2020,0.9481018518518519,0.6909875438203927,0.440945386909534,0.03902016041621504
induced_lex,2,catboost,brouwer_2019,0.9926397849462365,0.9304523408465014,0.5275745638716939,0.008233950436930596
induced_lex,2,logreg,brouwer_2019,0.996731182795699,0.9377735176421308,0.5955840609878078,0.008233950436930596
induced_lex,2,blend,brouwer_2019,0.9958924731182796,0.9357768330615046,0.6119484984143736,0.008233950436930596
induced_lex,2,catboost,leenaars_2020,0.939050925925926,0.652598718521832,0.6875321838625161,0.31946755407653904
induced_lex,2,logreg,leenaars_2020,0.9312719907407407,0.6288302786469995,0.6712816097163056,0.31946755407653904
induced_lex,2,blend,leenaars_2020,0.9444768518518518,0.6660065563999424,0.7017616129041749,0.31946755407653904
induced_lex,2,catboost,moran_2021,0.847021021021021,0.12057043073339704,0.4311994669665767,0.09914255091103961
induced_lex,2,logreg,moran_2021,0.6253123123123123,0.07071539442318717,0.1436672967863894,0.09914255091103961
