model,variant,arm,use_case,n,auc,wss95,tie_frac,recall@10%,t_star,f2_star,f2_own,recall_own,precision_own,screened_own,coverage,floor_f2
gpt-oss-20b,P1,B1 supplied,van_der_valk_2021,710,0.7860925075183115,0.10372233400402406,0.9971830985915493,0.38557993730407525,0.01,0.5399408284023669,0.4054054054054054,0.3793103448275862,0.559322033898305,0.08309859154929577,1.0,0.41115311909262764
gpt-oss-20b,P1,B1 supplied,van_dis_2020,1572,0.892625,0.18245066010293148,1.0,0.8111183458393414,0.7000000000000001,0.3985027141559008,0.38743436406067683,0.7083333333333334,0.13777230290456435,0.04141597672857462,1.0,0.03902016041621504
gpt-oss-20b,P2,B1 supplied,brouwer_2019,1562,0.9163440860215055,0.27287755229361055,1.0,0.8469788635574981,0.21000000000000002,0.4523437870221849,0.4523437870221849,0.6774193548387096,0.19422085068732603,0.005781895314742031,1.0,0.008233950436930596
gpt-oss-20b,P2,B1 supplied,leenaars_2020,2076,0.7968923611111112,0.09887242693232867,0.9995183044315993,0.4386538585752662,0.060000000000000005,0.5521217249143135,0.27088124098686517,0.24131944444444445,0.5311425296140618,0.03899567873640291,1.0,0.31946755407653904
gpt-oss-20b,P2,B1 supplied,moran_2021,1611,0.4128198198198198,-0.018371362048894092,0.9993792675356921,0.06677964921587234,0.01,0.07001970436857052,0.03326325873493174,0.04504504504504504,0.01625593341569672,0.05967792006208773,1.0,0.09914255091103961
gpt-oss-20b,P2,B1 supplied,muthu_2021,1834,0.7286057884231536,0.09938740988848904,0.9994547437295529,0.23806122924354708,0.060000000000000005,0.5228056080868624,0.3511591518608168,0.38622754491017963,0.25760123329086576,0.18636918496464458,1.0,0.41511309967685805
gpt-oss-20b,P2,B1 supplied,nelson_2002,358,0.78630845323741,0.3081767394616556,0.994413407821229,0.2966463414634147,0.01,0.7053571428571428,0.5324675324675324,0.5125,0.6307692307692307,0.18156424581005587,1.0,0.5899705014749262
gpt-oss-20b,P2,B1 supplied,sep_2021,270,0.8864130434782608,0.2625925925925925,0.9962962962962963,0.5,0.21000000000000002,0.7547169811320755,0.7547169811320755,0.8,0.6153846153846154,0.1925925925925926,1.0,0.46511627906976744
gpt-oss-20b,P2,B1 supplied,van_der_valk_2021,709,0.8084876372103337,0.2851198871650211,0.998589562764457,0.4074712643678161,0.01,0.5394736842105262,0.4373522458628842,0.42528735632183906,0.49333333333333335,0.10578279266572638,0.9985915492957746,0.41154210028382215
gpt-oss-20b,P2,B1 supplied,van_dis_2020,1572,0.9311296296296296,0.38242667263369884,1.0,0.8820491209100499,0.7000000000000001,0.43687891658116446,0.38197615789706,0.8333333333333334,0.12062984864974992,0.05564884015812635,1.0,0.03902016041621504
qwen3.5-397b-a17b,P2,B1 supplied,brouwer_2019,1562,0.9835322580645162,0.8009530837601745,0.9980793854033291,0.9279278191182156,0.46,0.6338028169014084,0.5636854580150572,0.6612903225806451,0.35443213056933903,0.003092911954225823,1.0,0.008233950436930596
qwen3.5-397b-a17b,P2,B1 supplied,leenaars_2020,2076,0.7526273148148148,0.3957650362856089,1.0,0.2434032404607676,0.060000000000000005,0.4613266563076155,0.12151482899930442,0.10069444444444445,0.7026896050399807,0.012299210251825357,1.0,0.31946755407653904
qwen3.5-397b-a17b,P2,B1 supplied,moran_2021,1611,0.4219099099099099,-0.01782982259611513,1.0,0.07414036459676497,0.01,0.07551166967758599,0.03296830822466978,0.04504504504504504,0.0159081653431073,0.06098253783469151,1.0,0.09914255091103961
qwen3.5-397b-a17b,P2,B1 supplied,muthu_2021,1834,0.727194610778443,0.10688188092113415,0.9994547437295529,0.2523826907704948,0.060000000000000005,0.49361162059587815,0.43219664161381355,0.4940119760479042,0.2880318406107439,0.2131943927552413,1.0,0.41511309967685805
qwen3.5-397b-a17b,P2,B1 supplied,nelson_2002,358,0.7737185251798562,0.2328212290502793,0.9972067039106145,0.25032608695652175,0.060000000000000005,0.663265306122449,0.5203045685279187,0.5125,0.5540540540540541,0.20670391061452514,1.0,0.5899705014749262
qwen3.5-397b-a17b,P2,B1 supplied,sep_2021,270,0.8990760869565219,0.3746913580246914,1.0,0.4580357142857143,0.46,0.7657657657657657,0.7142857142857143,0.925,0.37373737373737376,0.36666666666666664,1.0,0.46511627906976744
qwen3.5-397b-a17b,P2,B1 supplied,van_der_valk_2021,710,0.8275216324422059,0.4246478873239436,0.9971830985915493,0.4466338259441707,0.060000000000000005,0.5755894590846048,0.4712643678160919,0.47126436781609193,0.47126436781609193,0.12253521126760564,1.0,0.41115311909262764
qwen3.5-397b-a17b,P2,B1 supplied,van_dis_2020,1572,0.9377037037037037,0.6284950399045275,1.0,0.8751389506603013,0.46,0.3487189024790496,0.3030639167742907,0.7083333333333334,0.09215646119189025,0.061916163198329224,1.0,0.03902016041621504
