variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
fluff_added,synergy_jeyaraman_2020,0.5498547613033594,0.775006314725941,0.6611518060116192,0.7176433442788583
fluff_added,synergy_menon_2022,0.5350093109869647,0.5329608938547487,0.4925512104283054,0.5539478584729981
fluff_added,synergy_radjenovic_2013,0.9687962962962963,0.9094444444444445,0.8506944444444444,0.9712037037037039
fluff_added,synergy_walker_2018,0.7033054522924412,0.6622428748451052,0.785638166047088,0.8031635687732341
fluff_added,synergy_wassenaar_2017,0.6941865079365079,0.8877777777777778,0.8572420634920634,0.9258015873015875
vague_objective,nykvist_evcharging,0.6711695075757574,0.6416761363636363,0.6136221590909091,0.7647689393939393
vague_objective,synergy_hall_2012,0.8804471544715448,0.6426829268292683,0.8440650406504066,0.9608861788617886
vague_objective,synergy_jeyaraman_2020,0.5498547613033594,0.422202576408184,0.6611518060116192,0.7010356150543068
vague_objective,synergy_menon_2022,0.5350093109869647,0.5227188081936684,0.4925512104283054,0.5693109869646183
vague_objective,synergy_radjenovic_2013,0.9687962962962963,0.5787037037037037,0.8506944444444444,0.9654259259259259
vague_objective,synergy_walker_2018,0.7033054522924412,0.5226827757125154,0.785638166047088,0.8156183395291201
vague_objective,synergy_wassenaar_2017,0.6941865079365079,0.6557142857142857,0.8572420634920634,0.9242857142857142
conflicting,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.611936553030303,0.7664431818181818
conflicting,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.7781504065040651,0.9485365853658536
conflicting,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.6133809042687547,0.7028921444809295
conflicting,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.4621508379888269,0.5531657355679702
conflicting,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.8217592592592592,0.9558333333333333
conflicting,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.7823667905824039,0.7963469640644363
