variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
qwen3-4b: embedding PCA-64,soil_microbiome,25,0.18882868217117607,0.35127094907894674,0.11746987951807225,0.6989113240353287,0.7002911646586346
qwen3-4b: embedding PCA-64,soil_microbiome,50,0.24651704158141813,0.42488486515296076,0.19885993485342013,0.7750514324966429,0.7007926167209553
qwen3-4b: embedding PCA-64,soil_microbiome,100,0.26319279730986694,0.4503311229927548,0.21381322957198443,0.7944796049046806,0.7025810635538262
qwen3-4b: embedding PCA-64,soil_microbiome,200,0.2911948159704709,0.47020774637821755,0.2361995753715499,0.8048031189036595,0.6978768577494692
qwen3-4b: embedding PCA-64,solar_leo,25,0.12089036436274836,0.23378323579062055,0.01606965174129349,0.6473361968493062,0.22138308457711442
qwen3-4b: embedding PCA-64,solar_leo,50,0.12415113134598967,0.24576309059528784,0.035161290322580606,0.7395438713843924,0.21921505376344083
qwen3-4b: embedding PCA-64,solar_leo,100,0.12417322876367541,0.24371846227555932,0.043076923076923034,0.7604992584758588,0.21630769230769226
qwen3-4b: embedding PCA-64,solar_leo,200,0.12435568822136107,0.24591656005943216,0.04916666666666662,0.7652496983845049,0.22364583333333332
qwen3-4b: embedding PCA-64,tech_forecasting,25,0.14151979054688543,0.2754230400263028,0.07803347280334724,0.7104236940189412,0.3842398884239888
qwen3-4b: embedding PCA-64,tech_forecasting,50,0.15099387406885137,0.29778813484129574,0.09859813084112144,0.7701734393940395,0.38118380062305296
qwen3-4b: embedding PCA-64,tech_forecasting,100,0.15553338022583776,0.3048735831006612,0.13333333333333325,0.8018237568182099,0.38849593495934953
qwen3-4b: embedding PCA-64,tech_forecasting,200,0.15543682636392814,0.3213710252806871,0.15,0.8323406105577649,0.3859375
qwen3-4b: PCA-64 + lexical,carbon_capture,25,0.17381078388829285,0.33073650018722095,0.13014705882352937,0.7870102483696815,0.47965686274509794
qwen3-4b: PCA-64 + lexical,carbon_capture,50,0.183343511655054,0.3513642974570569,0.17105263157894735,0.8283921017388599,0.47692307692307695
qwen3-4b: PCA-64 + lexical,carbon_capture,100,0.186853465425712,0.3524187131670262,0.18248730964467,0.8451011394039128,0.4783756345177663
qwen3-4b: PCA-64 + lexical,carbon_capture,200,0.19961125689950412,0.37389966544019226,0.21804123711340204,0.878190621284555,0.48773195876288666
qwen3-4b: PCA-64 + lexical,cement_binders,25,0.14287072237422702,0.2744727695518412,0.17841068917018282,0.8519468573593454,0.33270042194092825
qwen3-4b: PCA-64 + lexical,cement_binders,50,0.14445422050275886,0.2845825491648649,0.19182389937106914,0.8706650944891801,0.3316037735849057
qwen3-4b: PCA-64 + lexical,cement_binders,100,0.1424728747497407,0.2774253581439951,0.18868312757201638,0.8609412753467248,0.3323045267489712
qwen3-4b: PCA-64 + lexical,cement_binders,200,0.12976227789136408,0.271184911602561,0.1973118279569892,0.8764936550066403,0.3268817204301075
qwen3-4b: PCA-64 + lexical,ner,25,0.11409131019437722,0.2311397700424979,0.05360046457607428,0.7048577075269089,0.27098722415795584
qwen3-4b: PCA-64 + lexical,ner,50,0.12182306270090845,0.24576224943630803,0.05941475826972007,0.741625177275854,0.2712213740458015
